Date / Time,City,State,Shape,Duration,Summary,Posted
7/20/20 16:55,Modesto,CA,Triangle,1 hour,"huge, triangular craft, silent sighting in Modesto (Highway Village Area)",8/27/20
7/20/20 13:10,McFarland,CA,Circle,5 minutes,Observed and filmed an orb overhead during the day. Not similar to other aircraft I have observed.,7/23/20
7/20/20 10:00,Woodland,WA,Sphere,2 minutes,"2 sphere UFOs, color was white or reflective, 3000 feet elevation, one was larger than the other, flying very close to each other.",7/31/20
7/20/20 09:00,Beverly,MA,Cigar,2 minutes,Fiery Cigar shaped ufo seen in backyard,7/23/20
7/20/20 04:30,Las Vegas,NV,Light,2 seconds,While at work I stopped just for a second to observe the lightening that was happening this morning.  I was at Bonanza and MLK looking,7/23/20
7/20/20 03:54,Walla Walla,WA,,,MADAR Node 130,7/31/20
7/20/20 03:01,Kennesaw,GA,Light,30 seconds,An object with 6-horizontal lights approached my house and maneuvered around my windows.  Have video.,7/23/20
7/20/20 01:04,Billings,MT,Teardrop,2 hours,My husband and I were driving North on I-90 towards Billings. We were right outside of town and I saw a teardrop shap in the sky. It wa,8/6/20
7/19/20 00:00,Port Saint Lucie,FL,Unknown,20 minutes,We were abducted by the saint lucie nuclear plant today,7/23/20
7/19/20 23:35,Dayton,OH,Triangle,30 seconds,I was sleeping outside and I was on my phone and I saw something in the sky. It was triangle shaped with a light in every corner of the,7/23/20
7/19/20 23:10,Portland,OR,Light,2 minutes + 10 minutes,Bright color changing object visible across a large field of sky and exhibiting non-ballistic movement,7/23/20
7/19/20 23:05,Las Vegas,NM,Triangle,12 minutes,((NUFORC Note:  Witness provides no information about incident.  PD)),7/31/20
7/19/20 22:45,Vienna,VA,Light,25 minutes,Light at very high altitude began moving erratically for  several minutes.,7/31/20
7/19/20 22:00,Hico,WV,Triangle,1 minute,Triangle of lights,7/23/20
7/19/20 21:50,NoLos Angeles (northeast of),CA,Light,3 seconds,My brother was looking at a star with small binoculars and he told me to have a look when I was done I put the binoculars down and we b,7/23/20
7/19/20 21:30,North Myrtle Beach (Crescent Beach),SC,Circle,1 minute,Three orange yellow orbes triangular formation over ocean at 15th ave became brighter then extinguished One top orb and two on bottom e,8/20/20
